2408228,1859243,2480908
1001083,1770677,1645400
1001088,2759113,2668075
2352736,2167032,2904320
1002586,3120916,2296107
2330107,2136052,2801185
2308220,2010663,1002444
1002588,2653167,3058155
2289199,2056399,2904662
1002589,2727391,2668102
1002587,2555242,2295930
2265352,2166441,2904624
1002585,3117171,2631735
1002584,3047488,2800336
1002583,3047443,2582083
1002582,2801044,1742370
1002581,2800912,1002448
1002580,2800819,2582034
1002579,2620794,2581844
1002578,2541842,2581991
1002577,1735828,2054240
1002576,1426509,2505577
1391721,2783199,2668060
2207199,2191380,1037602
2182324,2850335,2668017
3114310,1048529,2295806
2158838,1035649,2295848
2110335,2929691,2667999
2065646,1053497,2358793
3113868,1028677,2193341
3149029,1021270,2193393
3149024,1022117,2109745
3132716,1033376,2358870
3133393,1010272,2106014
3149103,1003505,2109745
3149031,1003504,2109663
3149026,1003492,2106014
3149007,1470372,1923611
3132899,1500678,2026397
3113744,1466439,2026294
3134182,1367008,1956609
3133431,1397170,1002449
3133341,1366538,1972964
3133212,1366887,1006126
3133110,2647898,1006126
3132231,2727434,1006091
3114138,2723828,1495951
3114037,2667652,1002549
3113893,2647898,1002543
3113937,2581285,1742408
3113782,2567799,1493199
3113636,2551246,1493104
3113536,2463969,1493152
3113445,2483644,1493225
3095246,2454606,1493025
3095069,2435328,1481040
3095176,2338285,1110158
3094572,2294417,1110129
3077477,2273826,1037657
3077373,2056591,1037640
3059788,2056507,1037649
2134027,3028837,3150911
3149009,1135623,2505625
2047458,3022415,2667967
3149018,1155213,2530189
2001158,3006364,2667986
3149020,1074339,2481041
1001080,1985891,1002236
1001081,1962815,1002244
1001082,1904394,2667430
1978641,2850372,2668033
1001084,1859141,1763989
1001086,1808360,1710630
1001087,1808135,1710585
3149021,1012628,2109663
1001091,1716766,1645358
1001092,1702660,1470967
1001093,1728934,1298456
1001098,1667022,1298445
1001099,1634249,1292614
1001100,1614429,1291643
1001101,1614094,1291595
1001102,1613855,1235548
1001103,1586740,1235497
1001105,1242886,1002445
1001106,1241660,1002237
1001109,1243611,1002233
1001111,1360230,1002242
1001112,1282377,1002238
1001113,1326199,1002240
1001114,1292695,1002228
1001122,1235358,1002205
1001123,1205918,1002220
1001124,1154633,1002230
1001125,1097784,1002207
1001126,1095875,1002222
1001127,1078114,1002234
1001128,1002526,1002215
1001129,1002509,1002224
1001131,1002512,1002235
1001132,1002508,1002232
1001133,1002520,1002227
1001135,1002516,1002212
1001136,,
1001139,,
3139145,,
3120942,,
3048211,,
3028399,,
3007035,,
3005110,,
2929456,,
2923313,,
2889308,,
2870296,,
2850172,,
2800733,,
2793834,,
3067554,,
2763216,,
2727568,,
2727555,,
2684146,,
2667761,,
2636663,,
2621073,,
2620236,,
2614647,,
2567824,,
2563311,,
2542250,,
2539408,,
2488595,,
2463550,,
2439331,,
2430970,,
2408057,,
2352651,,
2308285,,
2329938,,
2289902,,
2133983,,
2110381,,
2047599,,
2000971,,
1978713,,
1954802,,
1895868,,
1871969,,
1848967,,
1828403,,
1810163,,
1763848,,
1744018,,
1727035,,
1711791,,
1697599,,
1664073,,
1646257,,
1625628,,
1605331,,
1579811,,
1529469,,
1510156,,
1478813,,
1465627,,
1438479,,
1426559,,
1414727,,
1406938,,
1397699,,
1383321,,
3139046,,
3120963,,
3067459,,
3048177,,
3028410,,
3007113,,
3005165,,
2929422,,
2910301,,
2889144,,
2488508,,
2870177,,
2850244,,
2763099,,
2757340,,
2684057,,
2683994,,
2667849,,
2662219,,
2636615,,
2630721,,
2581316,,
2567881,,
2563374,,
2542323,,
2479548,,
1871879,,
1848930,,
1828493,,
